source,target,lag,r,p_raw,p_adj,significant_fdr
bakery,pantry,1,0.0428,0.79068,0.95953,False
bakery,pantry,2,0.1397,0.38977,0.87303,False
bakery,pantry,3,-0.0637,0.69985,0.93205,False
bakery,pantry,4,-0.1174,0.48253,0.89904,False
bakery,personal care,1,0.2321,0.1442,0.74424,False
bakery,personal care,2,0.0794,0.62615,0.92289,False
bakery,personal care,3,-0.2829,0.08101,0.69593,False
bakery,personal care,4,0.0407,0.80853,0.96454,False
bakery,pets,1,0.1059,0.50998,0.89904,False
bakery,pets,2,0.1021,0.53076,0.90305,False
bakery,pets,3,-0.1575,0.33818,0.86692,False
bakery,pets,4,0.2317,0.16159,0.74424,False
bakery,produce,1,0.0464,0.77336,0.95767,False
bakery,produce,2,-0.0539,0.74112,0.95103,False
bakery,produce,3,0.158,0.33658,0.86692,False
bakery,produce,4,0.1083,0.51738,0.89977,False
bakery,snacks,1,0.2376,0.13464,0.74424,False
bakery,snacks,2,-0.3093,0.0521,0.66194,False
bakery,snacks,3,-0.045,0.78583,0.95953,False
bakery,snacks,4,-0.0725,0.66532,0.92289,False
beverages,alcohol,1,0.0481,0.76538,0.95541,False
beverages,alcohol,2,0.2682,0.09427,0.69593,False
beverages,alcohol,3,-0.1587,0.33468,0.86692,False
beverages,alcohol,4,-0.0236,0.88802,0.97585,False
beverages,babies,1,-0.1773,0.26745,0.83153,False
beverages,babies,2,0.0175,0.91471,0.98335,False
beverages,babies,3,-0.0134,0.93565,0.98881,False
beverages,babies,4,0.309,0.05904,0.66194,False
beverages,bakery,1,-0.2948,0.06135,0.66194,False
beverages,bakery,2,-0.0326,0.84194,0.9735,False
beverages,bakery,3,0.0949,0.56551,0.91436,False
beverages,bakery,4,0.016,0.92415,0.98619,False
beverages,breakfast,1,-0.1936,0.22513,0.77882,False
beverages,breakfast,2,-0.0701,0.66716,0.92289,False
beverages,breakfast,3,0.0456,0.78286,0.95953,False
beverages,breakfast,4,0.0719,0.66773,0.92289,False
beverages,bulk,1,-0.2245,0.15821,0.74424,False
beverages,bulk,2,0.0317,0.84622,0.9735,False
beverages,bulk,3,0.2491,0.12627,0.72885,False
beverages,bulk,4,-0.0313,0.852,0.9735,False
beverages,canned goods,1,-0.0148,0.92696,0.98727,False
beverages,canned goods,2,0.2247,0.16337,0.74424,False
beverages,canned goods,3,-0.0069,0.96697,0.99685,False
beverages,canned goods,4,-0.2736,0.09651,0.69593,False
beverages,dairy eggs,1,-0.0531,0.74151,0.95103,False
beverages,dairy eggs,2,-0.0191,0.90708,0.97939,False
beverages,dairy eggs,3,0.176,0.28371,0.85205,False
beverages,dairy eggs,4,0.1754,0.29219,0.8529,False
beverages,deli,1,0.198,0.21466,0.77471,False
beverages,deli,2,0.0101,0.95074,0.99359,False
beverages,deli,3,-0.1099,0.5054,0.89904,False
beverages,deli,4,0.379,0.01894,0.51938,False
beverages,dry goods pasta,1,0.1015,0.52762,0.90305,False
beverages,dry goods pasta,2,-0.0155,0.92419,0.98619,False
beverages,dry goods pasta,3,-0.1633,0.32043,0.85589,False
beverages,dry goods pasta,4,-0.1132,0.49846,0.89904,False
beverages,frozen,1,0.1525,0.34119,0.86692,False
beverages,frozen,2,-0.1982,0.22009,0.77471,False
beverages,frozen,3,0.1165,0.48018,0.89904,False
beverages,frozen,4,-0.0416,0.80425,0.96427,False
beverages,household,1,-0.039,0.80872,0.96454,False
beverages,household,2,0.1712,0.29075,0.8529,False
beverages,household,3,-0.2558,0.11598,0.72118,False
beverages,household,4,-0.1522,0.36163,0.87263,False
beverages,international,1,-0.0281,0.86154,0.9735,False
beverages,international,2,0.2549,0.11236,0.70833,False
beverages,international,3,-0.1024,0.53516,0.90305,False
beverages,international,4,-0.3305,0.04273,0.64767,False
beverages,meat seafood,1,-0.0211,0.89569,0.9779,False
beverages,meat seafood,2,-0.0905,0.57875,0.91785,False
beverages,meat seafood,3,0.054,0.74401,0.95103,False
beverages,meat seafood,4,0.2031,0.22136,0.77471,False
beverages,pantry,1,0.3056,0.05197,0.66194,False
beverages,pantry,2,0.001,0.99501,0.99854,False
beverages,pantry,3,-0.22,0.17834,0.74976,False
beverages,pantry,4,-0.2765,0.09281,0.69593,False
beverages,personal care,1,0.0609,0.70543,0.93525,False
beverages,personal care,2,-0.0427,0.79358,0.95953,False
beverages,personal care,3,-0.1729,0.29261,0.8529,False
beverages,personal care,4,-0.005,0.97614,0.9985,False
beverages,pets,1,0.2544,0.10854,0.70371,False
beverages,pets,2,-0.0703,0.66651,0.92289,False
beverages,pets,3,0.0151,0.92737,0.98727,False
beverages,pets,4,-0.0101,0.95216,0.99427,False
beverages,produce,1,-0.1306,0.41561,0.88458,False
beverages,produce,2,0.2658,0.09736,0.69593,False
beverages,produce,3,0.0417,0.80121,0.96314,False
beverages,produce,4,0.0107,0.94931,0.99286,False
beverages,snacks,1,0.0652,0.68555,0.92913,False
beverages,snacks,2,-0.5011,0.00099,0.33858,False
beverages,snacks,3,0.2267,0.1652,0.74424,False
beverages,snacks,4,0.0707,0.67331,0.92289,False
breakfast,alcohol,1,-0.0813,0.61319,0.92061,False
breakfast,alcohol,2,0.3758,0.01686,0.51938,False
breakfast,alcohol,3,-0.2176,0.18318,0.74976,False
breakfast,alcohol,4,0.1585,0.34177,0.86692,False
breakfast,babies,1,-0.186,0.24423,0.80314,False
breakfast,babies,2,0.1132,0.48675,0.89904,False
breakfast,babies,3,0.1444,0.38055,0.87292,False
breakfast,babies,4,-0.069,0.68077,0.92758,False
breakfast,bakery,1,0.1622,0.31111,0.8529,False
breakfast,bakery,2,0.0089,0.95651,0.99434,False
breakfast,bakery,3,0.1154,0.48407,0.89904,False
breakfast,bakery,4,-0.1003,0.54888,0.9071,False
breakfast,beverages,1,0.0905,0.57378,0.91785,False
breakfast,beverages,2,-0.0303,0.85289,0.9735,False
breakfast,beverages,3,-0.0827,0.61692,0.92087,False
breakfast,beverages,4,0.0545,0.74522,0.95103,False
breakfast,bulk,1,0.1532,0.33887,0.86692,False
breakfast,bulk,2,-0.2977,0.06213,0.66194,False
breakfast,bulk,3,0.1259,0.44518,0.89461,False
breakfast,bulk,4,0.1603,0.33626,0.86692,False
breakfast,canned goods,1,0.0539,0.73776,0.95103,False
breakfast,canned goods,2,-0.3646,0.02071,0.51938,False
breakfast,canned goods,3,0.0428,0.79567,0.95986,False
breakfast,canned goods,4,-0.0963,0.56534,0.91436,False
breakfast,dairy eggs,1,0.212,0.18329,0.74976,False
breakfast,dairy eggs,2,0.0271,0.86832,0.9743,False
breakfast,dairy eggs,3,0.0834,0.61388,0.92061,False
breakfast,dairy eggs,4,0.0782,0.64065,0.92289,False
breakfast,deli,1,-0.1217,0.44859,0.89461,False
breakfast,deli,2,0.0529,0.74572,0.95103,False
breakfast,deli,3,-0.0766,0.64303,0.92289,False
breakfast,deli,4,0.1601,0.33685,0.86692,False
breakfast,dry goods pasta,1,-0.405,0.00861,0.51938,False
breakfast,dry goods pasta,2,0.1351,0.40601,0.88458,False
breakfast,dry goods pasta,3,-0.0291,0.86059,0.9735,False
breakfast,dry goods pasta,4,0.011,0.94784,0.99286,False
breakfast,frozen,1,0.0295,0.85449,0.9735,False
breakfast,frozen,2,0.0088,0.95723,0.99434,False
breakfast,frozen,3,-0.1437,0.3828,0.87292,False
breakfast,frozen,4,0.036,0.82995,0.9735,False
breakfast,household,1,0.0442,0.7839,0.95953,False
breakfast,household,2,-0.2021,0.21101,0.77372,False
breakfast,household,3,0.1367,0.40665,0.88458,False
breakfast,household,4,-0.2724,0.09806,0.69593,False
breakfast,international,1,-0.2618,0.09823,0.69593,False
breakfast,international,2,0.0752,0.64482,0.92289,False
breakfast,international,3,0.202,0.21746,0.77471,False
breakfast,international,4,-0.3993,0.01302,0.51938,False
breakfast,meat seafood,1,0.3656,0.01875,0.51938,False
breakfast,meat seafood,2,-0.234,0.14615,0.74424,False
breakfast,meat seafood,3,-0.1158,0.48286,0.89904,False
breakfast,meat seafood,4,-0.014,0.9333,0.98881,False
breakfast,pantry,1,0.2432,0.1254,0.72852,False
breakfast,pantry,2,-0.0912,0.57584,0.91785,False
breakfast,pantry,3,-0.0591,0.72069,0.94341,False
breakfast,pantry,4,-0.2732,0.097,0.69593,False
breakfast,personal care,1,0.0202,0.90013,0.9781,False
breakfast,personal care,2,0.0379,0.8163,0.96752,False
breakfast,personal care,3,-0.051,0.75764,0.95446,False
breakfast,personal care,4,-0.2188,0.18686,0.74976,False
breakfast,pets,1,-0.1067,0.50689,0.89904,False
breakfast,pets,2,-0.0244,0.88098,0.97542,False
breakfast,pets,3,0.2596,0.1105,0.70372,False
breakfast,pets,4,-0.1574,0.34536,0.86692,False
breakfast,produce,1,-0.1179,0.46289,0.89904,False
breakfast,produce,2,0.0363,0.82415,0.97187,False
breakfast,produce,3,0.0902,0.58491,0.91785,False
breakfast,produce,4,0.1647,0.32309,0.85739,False
breakfast,snacks,1,-0.0481,0.76521,0.95541,False
breakfast,snacks,2,-0.02,0.90231,0.9781,False
breakfast,snacks,3,-0.1129,0.49363,0.89904,False
breakfast,snacks,4,0.1105,0.50889,0.89904,False
bulk,alcohol,1,0.1613,0.31379,0.85349,False
bulk,alcohol,2,-0.3641,0.02092,0.51938,False
bulk,alcohol,3,0.3645,0.02254,0.51938,False
bulk,alcohol,4,-0.3109,0.05747,0.66194,False
bulk,babies,1,0.0068,0.96653,0.99685,False
bulk,babies,2,-0.1025,0.52931,0.90305,False
bulk,babies,3,0.0123,0.9406,0.99133,False
bulk,babies,4,0.1252,0.45376,0.89461,False
bulk,bakery,1,0.2675,0.09081,0.69593,False
bulk,bakery,2,-0.2925,0.06702,0.66922,False
bulk,bakery,3,-0.0235,0.88694,0.97585,False
bulk,bakery,4,0.3016,0.06578,0.66922,False
bulk,beverages,1,0.3868,0.01248,0.51938,False
bulk,beverages,2,-0.1652,0.30842,0.8529,False
bulk,beverages,3,-0.0894,0.58835,0.91785,False
bulk,beverages,4,0.1007,0.54758,0.9071,False
bulk,breakfast,1,0.2988,0.05776,0.66194,False
bulk,breakfast,2,-0.2884,0.07113,0.67694,False
bulk,breakfast,3,0.017,0.91838,0.9846,False
bulk,breakfast,4,-0.0034,0.98369,0.99854,False
bulk,canned goods,1,-0.2295,0.14891,0.74424,False
bulk,canned goods,2,0.274,0.08705,0.69593,False
bulk,canned goods,3,-0.1313,0.42544,0.88585,False
bulk,canned goods,4,0.2165,0.19162,0.74976,False
bulk,dairy eggs,1,-0.1152,0.47329,0.89904,False
bulk,dairy eggs,2,-0.1583,0.32922,0.86692,False
bulk,dairy eggs,3,0.1301,0.43003,0.88716,False
bulk,dairy eggs,4,0.1567,0.34745,0.86692,False
bulk,deli,1,-0.0231,0.8862,0.97585,False
bulk,deli,2,0.1536,0.34413,0.86692,False
bulk,deli,3,0.0024,0.98841,0.99854,False
bulk,deli,4,-0.2072,0.21201,0.77372,False
bulk,dry goods pasta,1,0.1352,0.39934,0.88238,False
bulk,dry goods pasta,2,-0.1143,0.48238,0.89904,False
bulk,dry goods pasta,3,0.2204,0.17762,0.74976,False
bulk,dry goods pasta,4,-0.2268,0.17083,0.74424,False
bulk,frozen,1,-0.0882,0.58338,0.91785,False
bulk,frozen,2,0.3023,0.05796,0.66194,False
bulk,frozen,3,-0.2219,0.17462,0.74884,False
bulk,frozen,4,-0.0791,0.63683,0.92289,False
bulk,household,1,0.0133,0.93422,0.98881,False
bulk,household,2,0.0047,0.97717,0.9985,False
bulk,household,3,-0.1246,0.4499,0.89461,False
bulk,household,4,0.1731,0.29855,0.8529,False
bulk,international,1,-0.2595,0.10139,0.69864,False
bulk,international,2,0.2994,0.06058,0.66194,False
bulk,international,3,0.0356,0.82959,0.9735,False
bulk,international,4,-0.0607,0.71712,0.94238,False
bulk,meat seafood,1,0.2734,0.08375,0.69593,False
bulk,meat seafood,2,-0.043,0.79232,0.95953,False
bulk,meat seafood,3,-0.0644,0.69698,0.93205,False
bulk,meat seafood,4,0.0882,0.59853,0.91792,False
bulk,pantry,1,-0.2647,0.09443,0.69593,False
bulk,pantry,2,0.3473,0.02812,0.54955,False
bulk,pantry,3,-0.0838,0.61214,0.92061,False
bulk,pantry,4,0.019,0.9098,0.98023,False
bulk,personal care,1,0.0566,0.72519,0.94498,False
bulk,personal care,2,0.2322,0.14943,0.74424,False
bulk,personal care,3,-0.2585,0.11208,0.70833,False
bulk,personal care,4,0.0886,0.59681,0.91785,False
bulk,pets,1,0.1525,0.34111,0.86692,False
bulk,pets,2,-0.1785,0.27059,0.83599,False
bulk,pets,3,0.0497,0.76364,0.95541,False
bulk,pets,4,0.0338,0.84026,0.9735,False
bulk,produce,1,-0.203,0.203,0.76514,False
bulk,produce,2,0.0051,0.97497,0.9985,False
bulk,produce,3,0.075,0.65011,0.92289,False
bulk,produce,4,-0.2349,0.15573,0.74424,False
bulk,snacks,1,0.2083,0.1912,0.74976,False
bulk,snacks,2,-0.1668,0.30369,0.8529,False
bulk,snacks,3,0.0238,0.88566,0.97585,False
bulk,snacks,4,0.0452,0.78753,0.95953,False
canned goods,alcohol,1,0.0225,0.88914,0.97585,False
canned goods,alcohol,2,-0.2272,0.15857,0.74424,False
canned goods,alcohol,3,0.229,0.16081,0.74424,False
canned goods,alcohol,4,-0.1255,0.45273,0.89461,False
canned goods,babies,1,0.163,0.30846,0.8529,False
canned goods,babies,2,-0.1375,0.39736,0.88102,False
canned goods,babies,3,-0.0756,0.64728,0.92289,False
canned goods,babies,4,-0.1884,0.25728,0.81284,False
canned goods,bakery,1,-0.0684,0.67093,0.92289,False
canned goods,bakery,2,0.1776,0.27288,0.837,False
canned goods,bakery,3,0.1004,0.54319,0.9071,False
canned goods,bakery,4,-0.0645,0.70046,0.93205,False
canned goods,beverages,1,-0.1273,0.42782,0.88716,False
canned goods,beverages,2,0.0683,0.67543,0.92289,False
canned goods,beverages,3,0.2112,0.19681,0.75416,False
canned goods,beverages,4,-0.1066,0.52413,0.9013,False
canned goods,breakfast,1,0.0418,0.79512,0.95986,False
canned goods,breakfast,2,0.2749,0.08598,0.69593,False
canned goods,breakfast,3,-0.1816,0.26861,0.83324,False
canned goods,breakfast,4,0.1997,0.22934,0.77882,False
canned goods,bulk,1,0.0742,0.64469,0.92289,False
canned goods,bulk,2,-0.0206,0.89976,0.9781,False
canned goods,bulk,3,-0.0797,0.62945,0.92289,False
canned goods,bulk,4,-0.1262,0.45019,0.89461,False
canned goods,dairy eggs,1,-0.0945,0.55693,0.91243,False
canned goods,dairy eggs,2,-0.1427,0.37965,0.87292,False
canned goods,dairy eggs,3,0.3097,0.05503,0.66194,False
canned goods,dairy eggs,4,-0.4072,0.01117,0.51938,False
canned goods,deli,1,-0.105,0.51347,0.89977,False
canned goods,deli,2,0.0533,0.74391,0.95103,False
canned goods,deli,3,-0.241,0.13937,0.74424,False
canned goods,deli,4,-0.1549,0.35316,0.87002,False
canned goods,dry goods pasta,1,-0.0298,0.85351,0.9735,False
canned goods,dry goods pasta,2,0.1657,0.30688,0.8529,False
canned goods,dry goods pasta,3,-0.071,0.6677,0.92289,False
canned goods,dry goods pasta,4,0.1966,0.2368,0.78891,False
canned goods,frozen,1,-0.1675,0.2952,0.8529,False
canned goods,frozen,2,0.2532,0.11488,0.71761,False
canned goods,frozen,3,-0.2913,0.07202,0.67694,False
canned goods,frozen,4,0.0897,0.59226,0.91785,False
canned goods,household,1,-0.2221,0.16286,0.74424,False
canned goods,household,2,0.3232,0.0419,0.64767,False
canned goods,household,3,-0.2596,0.1105,0.70372,False
canned goods,household,4,0.3925,0.01478,0.51938,False
canned goods,international,1,0.1792,0.26219,0.81889,False
canned goods,international,2,-0.1934,0.23171,0.77882,False
canned goods,international,3,0.0044,0.97896,0.9985,False
canned goods,international,4,0.2211,0.18219,0.74976,False
canned goods,meat seafood,1,0.1305,0.41597,0.88458,False
canned goods,meat seafood,2,0.0987,0.54458,0.9071,False
canned goods,meat seafood,3,0.0219,0.89475,0.97765,False
canned goods,meat seafood,4,-0.3178,0.05188,0.66194,False
canned goods,pantry,1,-0.0274,0.86506,0.9735,False
canned goods,pantry,2,0.0267,0.86986,0.9743,False
canned goods,pantry,3,0.1434,0.3838,0.87292,False
canned goods,pantry,4,0.2837,0.08429,0.69593,False
canned goods,personal care,1,-0.246,0.1211,0.72852,False
canned goods,personal care,2,0.2612,0.10348,0.70015,False
canned goods,personal care,3,-0.1107,0.50222,0.89904,False
canned goods,personal care,4,0.3737,0.02081,0.51938,False
canned goods,pets,1,-0.2099,0.1877,0.74976,False
canned goods,pets,2,0.2078,0.19828,0.75767,False
canned goods,pets,3,-0.1707,0.29887,0.8529,False
canned goods,pets,4,-0.016,0.92399,0.98619,False
canned goods,produce,1,0.3113,0.04761,0.66194,False
canned goods,produce,2,-0.4046,0.0096,0.51938,False
canned goods,produce,3,0.0732,0.65789,0.92289,False
canned goods,produce,4,-0.2406,0.1457,0.74424,False
