relative_week,department,demand_per_active_user
34.0,produce,3.9303
35.0,produce,4.1854
36.0,produce,4.2663
37.0,produce,4.2696
38.0,produce,4.3263
39.0,produce,4.4116
40.0,produce,4.4191
41.0,produce,4.3789
42.0,produce,4.4724
43.0,produce,4.5815
44.0,produce,4.5483
45.0,produce,4.5784
46.0,produce,4.6158
47.0,produce,4.5957
48.0,produce,4.6722
49.0,produce,4.642
50.0,produce,4.6136
51.0,produce,4.0383
0.0,pets,0.04
1.0,pets,0.0386
2.0,pets,0.0379
3.0,pets,0.0377
4.0,pets,0.0369
5.0,pets,0.0379
6.0,pets,0.0365
7.0,pets,0.0382
8.0,pets,0.037
9.0,pets,0.0368
10.0,pets,0.0352
11.0,pets,0.0367
12.0,pets,0.0347
13.0,pets,0.0392
14.0,pets,0.0353
15.0,pets,0.0349
16.0,pets,0.0366
17.0,pets,0.0339
18.0,pets,0.037
19.0,pets,0.0377
20.0,pets,0.0358
21.0,pets,0.0394
22.0,pets,0.0386
23.0,pets,0.037
24.0,pets,0.0402
25.0,pets,0.0395
26.0,pets,0.0386
27.0,pets,0.0367
28.0,pets,0.0399
29.0,pets,0.0388
30.0,pets,0.035
31.0,pets,0.0376
32.0,pets,0.0371
33.0,pets,0.0348
34.0,pets,0.0381
35.0,pets,0.0363
36.0,pets,0.0344
37.0,pets,0.0364
38.0,pets,0.0359
39.0,pets,0.0374
40.0,pets,0.0375
41.0,pets,0.0391
42.0,pets,0.0398
43.0,pets,0.0375
44.0,pets,0.0375
45.0,pets,0.039
46.0,pets,0.0395
47.0,pets,0.0403
48.0,pets,0.033
49.0,pets,0.0392
50.0,pets,0.0321
51.0,pets,0.0229
0.0,meat seafood,0.2875
1.0,meat seafood,0.2845
2.0,meat seafood,0.2814
3.0,meat seafood,0.2801
4.0,meat seafood,0.2663
5.0,meat seafood,0.2747
6.0,meat seafood,0.2718
7.0,meat seafood,0.2724
8.0,meat seafood,0.2609
9.0,meat seafood,0.2709
10.0,meat seafood,0.2678
11.0,meat seafood,0.2658
12.0,meat seafood,0.2549
13.0,meat seafood,0.2645
14.0,meat seafood,0.2632
15.0,meat seafood,0.2581
16.0,meat seafood,0.2633
17.0,meat seafood,0.2563
18.0,meat seafood,0.2651
19.0,meat seafood,0.2571
20.0,meat seafood,0.2593
21.0,meat seafood,0.2543
22.0,meat seafood,0.2569
23.0,meat seafood,0.2618
24.0,meat seafood,0.2587
25.0,meat seafood,0.2607
26.0,meat seafood,0.2629
27.0,meat seafood,0.2609
28.0,meat seafood,0.258
29.0,meat seafood,0.2598
30.0,meat seafood,0.2643
31.0,meat seafood,0.2685
32.0,meat seafood,0.2715
33.0,meat seafood,0.2659
34.0,meat seafood,0.2678
35.0,meat seafood,0.2878
36.0,meat seafood,0.2911
37.0,meat seafood,0.2921
38.0,meat seafood,0.2943
39.0,meat seafood,0.294
40.0,meat seafood,0.2916
41.0,meat seafood,0.288
42.0,meat seafood,0.2858
43.0,meat seafood,0.2947
44.0,meat seafood,0.2815
45.0,meat seafood,0.2803
46.0,meat seafood,0.2752
47.0,meat seafood,0.2621
48.0,meat seafood,0.2676
49.0,meat seafood,0.273
50.0,meat seafood,0.2532
51.0,meat seafood,0.233
0.0,international,0.1164
1.0,international,0.1121
2.0,international,0.1084
3.0,international,0.1057
4.0,international,0.101
5.0,international,0.106
6.0,international,0.1018
7.0,international,0.0996
8.0,international,0.0964
9.0,international,0.0987
10.0,international,0.0966
11.0,international,0.0985
12.0,international,0.0937
13.0,international,0.0958
14.0,international,0.0982
15.0,international,0.097
16.0,international,0.0969
17.0,international,0.0907
18.0,international,0.0939
19.0,international,0.0955
20.0,international,0.0948
21.0,international,0.0951
22.0,international,0.0966
23.0,international,0.0981
24.0,international,0.0958
25.0,international,0.0958
26.0,international,0.0945
27.0,international,0.0964
28.0,international,0.0964
29.0,international,0.0957
30.0,international,0.099
31.0,international,0.098
32.0,international,0.0972
33.0,international,0.1049
34.0,international,0.1064
35.0,international,0.1129
36.0,international,0.1176
37.0,international,0.118
38.0,international,0.1185
39.0,international,0.1199
40.0,international,0.1143
41.0,international,0.1138
42.0,international,0.1177
43.0,international,0.1231
44.0,international,0.1188
45.0,international,0.1154
46.0,international,0.1109
47.0,international,0.1211
48.0,international,0.1174
49.0,international,0.1222
50.0,international,0.1114
51.0,international,0.0994
0.0,deli,0.422
1.0,deli,0.4126
2.0,deli,0.4145
3.0,deli,0.4082
4.0,deli,0.3854
5.0,deli,0.4001
6.0,deli,0.4022
7.0,deli,0.3997
8.0,deli,0.3752
9.0,deli,0.3901
10.0,deli,0.3909
11.0,deli,0.3916
12.0,deli,0.3747
13.0,deli,0.3961
14.0,deli,0.3908
15.0,deli,0.3874
16.0,deli,0.3891
17.0,deli,0.3809
18.0,deli,0.3893
19.0,deli,0.3887
20.0,deli,0.3847
21.0,deli,0.3821
22.0,deli,0.3861
23.0,deli,0.3859
24.0,deli,0.3795
25.0,deli,0.3902
26.0,deli,0.3905
27.0,deli,0.3884
28.0,deli,0.3811
29.0,deli,0.3863
30.0,deli,0.3893
31.0,deli,0.396
32.0,deli,0.3971
33.0,deli,0.3885
34.0,deli,0.4018
35.0,deli,0.4197
36.0,deli,0.4328
37.0,deli,0.4294
38.0,deli,0.4327
39.0,deli,0.4429
40.0,deli,0.4351
41.0,deli,0.4294
42.0,deli,0.4444
43.0,deli,0.4452
44.0,deli,0.4465
45.0,deli,0.4392
46.0,deli,0.4523
47.0,deli,0.4421
48.0,deli,0.4553
49.0,deli,0.4465
50.0,deli,0.4414
51.0,deli,0.399
0.0,dairy eggs,2.0203
1.0,dairy eggs,2.0383
2.0,dairy eggs,2.0409
3.0,dairy eggs,2.0284
4.0,dairy eggs,1.8727
5.0,dairy eggs,1.9893
6.0,dairy eggs,1.9815
7.0,dairy eggs,1.9621
8.0,dairy eggs,1.8561
9.0,dairy eggs,1.9449
10.0,dairy eggs,1.953
11.0,dairy eggs,1.9604
12.0,dairy eggs,1.8917
13.0,dairy eggs,1.9983
14.0,dairy eggs,1.9904
15.0,dairy eggs,1.9906
16.0,dairy eggs,1.9935
17.0,dairy eggs,1.9558
18.0,dairy eggs,2.0081
19.0,dairy eggs,2.0079
20.0,dairy eggs,2.018
21.0,dairy eggs,2.0095
22.0,dairy eggs,2.033
23.0,dairy eggs,2.059
24.0,dairy eggs,2.0692
25.0,dairy eggs,2.0614
26.0,dairy eggs,2.0822
27.0,dairy eggs,2.1037
28.0,dairy eggs,2.1182
29.0,dairy eggs,2.1173
30.0,dairy eggs,2.1362
31.0,dairy eggs,2.1536
32.0,dairy eggs,2.1592
33.0,dairy eggs,2.1774
34.0,dairy eggs,2.1856
35.0,dairy eggs,2.2868
36.0,dairy eggs,2.3092
37.0,dairy eggs,2.3343
38.0,dairy eggs,2.3435
39.0,dairy eggs,2.3773
40.0,dairy eggs,2.3961
41.0,dairy eggs,2.3651
42.0,dairy eggs,2.396
43.0,dairy eggs,2.4455
44.0,dairy eggs,2.4468
45.0,dairy eggs,2.4312
46.0,dairy eggs,2.4741
47.0,dairy eggs,2.3887
48.0,dairy eggs,2.4404
49.0,dairy eggs,2.457
50.0,dairy eggs,2.3911
51.0,dairy eggs,2.1191
0.0,bakery,0.46
1.0,bakery,0.4566
2.0,bakery,0.4563
3.0,bakery,0.4527
4.0,bakery,0.4233
5.0,bakery,0.4428
6.0,bakery,0.4445
7.0,bakery,0.4357
8.0,bakery,0.4177
9.0,bakery,0.4321
10.0,bakery,0.4326
11.0,bakery,0.4297
12.0,bakery,0.4131
13.0,bakery,0.4315
14.0,bakery,0.4364
15.0,bakery,0.4329
16.0,bakery,0.4299
17.0,bakery,0.427
18.0,bakery,0.4359
19.0,bakery,0.4338
20.0,bakery,0.4374
21.0,bakery,0.428
22.0,bakery,0.434
23.0,bakery,0.4375
24.0,bakery,0.4355
25.0,bakery,0.4378
26.0,bakery,0.4384
27.0,bakery,0.442
28.0,bakery,0.447
29.0,bakery,0.4385
30.0,bakery,0.454
31.0,bakery,0.4549
32.0,bakery,0.4584
33.0,bakery,0.4568
34.0,bakery,0.4607
35.0,bakery,0.4825
36.0,bakery,0.4763
37.0,bakery,0.4905
38.0,bakery,0.5013
39.0,bakery,0.5043
40.0,bakery,0.5078
41.0,bakery,0.5123
42.0,bakery,0.507
43.0,bakery,0.5189
44.0,bakery,0.5129
45.0,bakery,0.5104
46.0,bakery,0.5152
47.0,bakery,0.498
48.0,bakery,0.4984
49.0,bakery,0.502
50.0,bakery,0.4977
51.0,bakery,0.433
0.0,bulk,0.0112
1.0,bulk,0.0116
2.0,bulk,0.0125
3.0,bulk,0.012
4.0,bulk,0.0114
5.0,bulk,0.0122
6.0,bulk,0.0119
7.0,bulk,0.0126
8.0,bulk,0.0113
9.0,bulk,0.012
10.0,bulk,0.0117
11.0,bulk,0.0115
12.0,bulk,0.0111
13.0,bulk,0.0119
14.0,bulk,0.0114
15.0,bulk,0.0117
16.0,bulk,0.012
17.0,bulk,0.0116
18.0,bulk,0.0115
19.0,bulk,0.0125
20.0,bulk,0.0129
21.0,bulk,0.013
22.0,bulk,0.0127
23.0,bulk,0.0138
24.0,bulk,0.0136
25.0,bulk,0.0142
26.0,bulk,0.0141
27.0,bulk,0.0144
28.0,bulk,0.0143
29.0,bulk,0.0144
30.0,bulk,0.0147
31.0,bulk,0.0156
32.0,bulk,0.0142
33.0,bulk,0.0152
34.0,bulk,0.0156
35.0,bulk,0.0173
36.0,bulk,0.0175
37.0,bulk,0.0176
38.0,bulk,0.0169
39.0,bulk,0.0168
40.0,bulk,0.0188
41.0,bulk,0.0174
42.0,bulk,0.0174
43.0,bulk,0.019
44.0,bulk,0.0175
45.0,bulk,0.0188
46.0,bulk,0.0184
47.0,bulk,0.019
48.0,bulk,0.019
49.0,bulk,0.0172
50.0,bulk,0.0206
51.0,bulk,0.0161
0.0,canned goods,0.4441
1.0,canned goods,0.412
2.0,canned goods,0.4148
3.0,canned goods,0.4029
4.0,canned goods,0.3896
5.0,canned goods,0.3948
6.0,canned goods,0.3887
7.0,canned goods,0.3824
8.0,canned goods,0.3744
9.0,canned goods,0.3816
10.0,canned goods,0.3762
11.0,canned goods,0.3843
12.0,canned goods,0.3724
13.0,canned goods,0.3785
14.0,canned goods,0.3736
15.0,canned goods,0.3771
16.0,canned goods,0.3806
17.0,canned goods,0.3753
18.0,canned goods,0.3807
19.0,canned goods,0.3853
20.0,canned goods,0.3921
21.0,canned goods,0.3952
22.0,canned goods,0.4011
23.0,canned goods,0.4062
24.0,canned goods,0.4091
25.0,canned goods,0.4119
26.0,canned goods,0.4202
27.0,canned goods,0.4138
28.0,canned goods,0.412
29.0,canned goods,0.4262
30.0,canned goods,0.4342
31.0,canned goods,0.4245
32.0,canned goods,0.4281
33.0,canned goods,0.4382
34.0,canned goods,0.4429
35.0,canned goods,0.4786
36.0,canned goods,0.4775
37.0,canned goods,0.4879
38.0,canned goods,0.4833
39.0,canned goods,0.4864
40.0,canned goods,0.473
41.0,canned goods,0.4528
42.0,canned goods,0.4601
43.0,canned goods,0.457
44.0,canned goods,0.4508
45.0,canned goods,0.4476
46.0,canned goods,0.4436
47.0,canned goods,0.4082
48.0,canned goods,0.425
49.0,canned goods,0.4089
50.0,canned goods,0.3995
51.0,canned goods,0.3478
0.0,breakfast,0.2832
1.0,breakfast,0.2825
2.0,breakfast,0.2829
3.0,breakfast,0.2782
4.0,breakfast,0.2591
5.0,breakfast,0.2696
6.0,breakfast,0.2713
7.0,breakfast,0.2677
8.0,breakfast,0.2571
9.0,breakfast,0.261
10.0,breakfast,0.2588
11.0,breakfast,0.2614
12.0,breakfast,0.2526
13.0,breakfast,0.2673
14.0,breakfast,0.26
15.0,breakfast,0.2607
16.0,breakfast,0.2616
17.0,breakfast,0.2579
18.0,breakfast,0.2581
19.0,breakfast,0.2577
20.0,breakfast,0.2582
21.0,breakfast,0.2584
22.0,breakfast,0.2641
23.0,breakfast,0.2628
24.0,breakfast,0.2625
25.0,breakfast,0.2661
26.0,breakfast,0.2621
27.0,breakfast,0.2613
28.0,breakfast,0.2628
29.0,breakfast,0.2586
30.0,breakfast,0.263
31.0,breakfast,0.2656
32.0,breakfast,0.2654
33.0,breakfast,0.2611
34.0,breakfast,0.2671
35.0,breakfast,0.2768
36.0,breakfast,0.2862
37.0,breakfast,0.2893
38.0,breakfast,0.2906
39.0,breakfast,0.3007
40.0,breakfast,0.2995
41.0,breakfast,0.2991
42.0,breakfast,0.3018
43.0,breakfast,0.3102
44.0,breakfast,0.3058
45.0,breakfast,0.3056
46.0,breakfast,0.2988
47.0,breakfast,0.3032
48.0,breakfast,0.3038
49.0,breakfast,0.3011
50.0,breakfast,0.3073
51.0,breakfast,0.2564
0.0,frozen,0.9533
1.0,frozen,0.9051
2.0,frozen,0.903
3.0,frozen,0.8947
4.0,frozen,0.8676
5.0,frozen,0.8755
6.0,frozen,0.881
7.0,frozen,0.8645
8.0,frozen,0.8325
9.0,frozen,0.8398
10.0,frozen,0.8431
11.0,frozen,0.8463
12.0,frozen,0.8179
13.0,frozen,0.8428
14.0,frozen,0.8357
15.0,frozen,0.8315
16.0,frozen,0.8188
17.0,frozen,0.8101
18.0,frozen,0.8166
19.0,frozen,0.8024
20.0,frozen,0.8073
21.0,frozen,0.8098
22.0,frozen,0.8084
23.0,frozen,0.8155
24.0,frozen,0.8062
25.0,frozen,0.7972
26.0,frozen,0.8063
27.0,frozen,0.8055
28.0,frozen,0.8024
29.0,frozen,0.7995
30.0,frozen,0.8024
31.0,frozen,0.8155
32.0,frozen,0.8114
33.0,frozen,0.8093
34.0,frozen,0.8158
35.0,frozen,0.8599
36.0,frozen,0.8828
37.0,frozen,0.8805
38.0,frozen,0.8786
39.0,frozen,0.9008
40.0,frozen,0.8942
41.0,frozen,0.8825
42.0,frozen,0.9057
43.0,frozen,0.9154
44.0,frozen,0.9049
45.0,frozen,0.9104
46.0,frozen,0.8968
47.0,frozen,0.8863
48.0,frozen,0.8832
49.0,frozen,0.8774
50.0,frozen,0.8388
51.0,frozen,0.7444
0.0,dry goods pasta,0.3643
1.0,dry goods pasta,0.3421
2.0,dry goods pasta,0.3443
3.0,dry goods pasta,0.3391
4.0,dry goods pasta,0.3301
5.0,dry goods pasta,0.3292
6.0,dry goods pasta,0.3329
7.0,dry goods pasta,0.3255
8.0,dry goods pasta,0.3167
9.0,dry goods pasta,0.3136
10.0,dry goods pasta,0.3191
11.0,dry goods pasta,0.3228
12.0,dry goods pasta,0.3106
13.0,dry goods pasta,0.3201
14.0,dry goods pasta,0.3167
15.0,dry goods pasta,0.3141
16.0,dry goods pasta,0.3148
17.0,dry goods pasta,0.3128
18.0,dry goods pasta,0.3125
19.0,dry goods pasta,0.3117
20.0,dry goods pasta,0.314
21.0,dry goods pasta,0.3102
22.0,dry goods pasta,0.3145
23.0,dry goods pasta,0.313
24.0,dry goods pasta,0.3137
25.0,dry goods pasta,0.3207
26.0,dry goods pasta,0.3166
27.0,dry goods pasta,0.3182
28.0,dry goods pasta,0.3211
29.0,dry goods pasta,0.3177
30.0,dry goods pasta,0.3223
31.0,dry goods pasta,0.3223
32.0,dry goods pasta,0.3307
33.0,dry goods pasta,0.3287
34.0,dry goods pasta,0.3465
35.0,dry goods pasta,0.3479
36.0,dry goods pasta,0.3609
37.0,dry goods pasta,0.36
38.0,dry goods pasta,0.3672
39.0,dry goods pasta,0.3698
40.0,dry goods pasta,0.3654
41.0,dry goods pasta,0.3604
42.0,dry goods pasta,0.3719
43.0,dry goods pasta,0.3736
44.0,dry goods pasta,0.3749
45.0,dry goods pasta,0.3675
46.0,dry goods pasta,0.3661
47.0,dry goods pasta,0.3544
48.0,dry goods pasta,0.3521
49.0,dry goods pasta,0.3431
50.0,dry goods pasta,0.3273
51.0,dry goods pasta,0.2953
0.0,pantry,0.7933
1.0,pantry,0.7532
2.0,pantry,0.7382
3.0,pantry,0.7397
4.0,pantry,0.7122
5.0,pantry,0.7164
6.0,pantry,0.7065
7.0,pantry,0.7036
8.0,pantry,0.6869
9.0,pantry,0.6988
10.0,pantry,0.6848
11.0,pantry,0.6862
12.0,pantry,0.6718
13.0,pantry,0.6975
14.0,pantry,0.6868
15.0,pantry,0.6685
16.0,pantry,0.6649
17.0,pantry,0.661
18.0,pantry,0.6635
19.0,pantry,0.6585
20.0,pantry,0.6658
21.0,pantry,0.6639
22.0,pantry,0.683
23.0,pantry,0.6896
24.0,pantry,0.6822
25.0,pantry,0.6767
26.0,pantry,0.6855
27.0,pantry,0.6936
28.0,pantry,0.7077
29.0,pantry,0.724
30.0,pantry,0.7044
31.0,pantry,0.7067
32.0,pantry,0.7152
33.0,pantry,0.7459
34.0,pantry,0.7297
35.0,pantry,0.7545
36.0,pantry,0.7765
37.0,pantry,0.7837
38.0,pantry,0.7715
39.0,pantry,0.8007
40.0,pantry,0.7912
41.0,pantry,0.778
42.0,pantry,0.7885
43.0,pantry,0.7906
44.0,pantry,0.7968
45.0,pantry,0.7814
46.0,pantry,0.7825
47.0,pantry,0.7486
48.0,pantry,0.7735
49.0,pantry,0.7659
50.0,pantry,0.7332
51.0,pantry,0.6412
0.0,personal care,0.192
1.0,personal care,0.1717
2.0,personal care,0.1745
3.0,personal care,0.175
4.0,personal care,0.1706
5.0,personal care,0.1687
6.0,personal care,0.167
7.0,personal care,0.1672
8.0,personal care,0.1642
9.0,personal care,0.1661
10.0,personal care,0.1643
11.0,personal care,0.1662
12.0,personal care,0.1613
13.0,personal care,0.1666
14.0,personal care,0.164
15.0,personal care,0.1663
16.0,personal care,0.1595
17.0,personal care,0.1627
18.0,personal care,0.1604
19.0,personal care,0.1588
20.0,personal care,0.1632
21.0,personal care,0.1629
22.0,personal care,0.159
23.0,personal care,0.1615
24.0,personal care,0.1639
25.0,personal care,0.1627
26.0,personal care,0.1641
27.0,personal care,0.1625
28.0,personal care,0.1682
29.0,personal care,0.1685
30.0,personal care,0.1633
31.0,personal care,0.1666
32.0,personal care,0.1712
33.0,personal care,0.1759
34.0,personal care,0.1686
35.0,personal care,0.1789
36.0,personal care,0.1893
37.0,personal care,0.1942
38.0,personal care,0.1851
39.0,personal care,0.2023
40.0,personal care,0.1906
41.0,personal care,0.1931
42.0,personal care,0.1925
43.0,personal care,0.1908
44.0,personal care,0.1947
45.0,personal care,0.1938
46.0,personal care,0.1929
47.0,personal care,0.1903
48.0,personal care,0.1872
49.0,personal care,0.182
50.0,personal care,0.1756
51.0,personal care,0.1566
0.0,household,0.3151
1.0,household,0.2772
2.0,household,0.2842
3.0,household,0.2849
4.0,household,0.2916
5.0,household,0.2774
6.0,household,0.2754
7.0,household,0.2843
8.0,household,0.2829
9.0,household,0.2735
10.0,household,0.2731
11.0,household,0.2781
12.0,household,0.2732
13.0,household,0.2748
14.0,household,0.2697
15.0,household,0.2694
16.0,household,0.2721
17.0,household,0.2788
18.0,household,0.2708
19.0,household,0.2678
20.0,household,0.2756
21.0,household,0.2665
22.0,household,0.2706
23.0,household,0.2762
24.0,household,0.2692
25.0,household,0.2751
26.0,household,0.2741
27.0,household,0.2747
28.0,household,0.2812
29.0,household,0.2765
30.0,household,0.2796
31.0,household,0.2808
32.0,household,0.2845
33.0,household,0.2853
34.0,household,0.2891
35.0,household,0.2965
36.0,household,0.2977
37.0,household,0.3021
38.0,household,0.2935
39.0,household,0.3093
40.0,household,0.3019
41.0,household,0.303
42.0,household,0.2989
43.0,household,0.3077
44.0,household,0.3045
45.0,household,0.2969
46.0,household,0.2972
47.0,household,0.306
48.0,household,0.2947
49.0,household,0.2869
50.0,household,0.2612
51.0,household,0.231
0.0,alcohol,0.0828
1.0,alcohol,0.0722
2.0,alcohol,0.075
3.0,alcohol,0.0739
4.0,alcohol,0.0679
5.0,alcohol,0.0699
6.0,alcohol,0.0633
7.0,alcohol,0.067
8.0,alcohol,0.0617
9.0,alcohol,0.0626
10.0,alcohol,0.0632
11.0,alcohol,0.0609
12.0,alcohol,0.0572
13.0,alcohol,0.061
14.0,alcohol,0.0571
15.0,alcohol,0.0583
16.0,alcohol,0.0562
17.0,alcohol,0.055
18.0,alcohol,0.0572
19.0,alcohol,0.0521
20.0,alcohol,0.0553
21.0,alcohol,0.0515
22.0,alcohol,0.0532
23.0,alcohol,0.0521
24.0,alcohol,0.052
25.0,alcohol,0.05
26.0,alcohol,0.0482
27.0,alcohol,0.0504
28.0,alcohol,0.0495
29.0,alcohol,0.048
30.0,alcohol,0.045
31.0,alcohol,0.0431
32.0,alcohol,0.0433
33.0,alcohol,0.0405
34.0,alcohol,0.0412
35.0,alcohol,0.0416
36.0,alcohol,0.0446
37.0,alcohol,0.0386
38.0,alcohol,0.0405
39.0,alcohol,0.0422
40.0,alcohol,0.044
41.0,alcohol,0.0405
42.0,alcohol,0.0387
43.0,alcohol,0.04
44.0,alcohol,0.0392
45.0,alcohol,0.0367
46.0,alcohol,0.0355
47.0,alcohol,0.0397
48.0,alcohol,0.0382
49.0,alcohol,0.0339
50.0,alcohol,0.0378
51.0,alcohol,0.027
0.0,snacks,1.1062
1.0,snacks,1.1174
2.0,snacks,1.1254
3.0,snacks,1.1165
4.0,snacks,1.027
5.0,snacks,1.0672
6.0,snacks,1.0952
7.0,snacks,1.071
8.0,snacks,1.0141
9.0,snacks,1.0451
10.0,snacks,1.0561
11.0,snacks,1.0553
12.0,snacks,1.0082
13.0,snacks,1.0681
14.0,snacks,1.0521
15.0,snacks,1.0547
16.0,snacks,1.0689
17.0,snacks,1.0439
18.0,snacks,1.0519
19.0,snacks,1.0487
20.0,snacks,1.0704
21.0,snacks,1.0675
22.0,snacks,1.077
23.0,snacks,1.0805
24.0,snacks,1.0787
25.0,snacks,1.0806
26.0,snacks,1.0741
27.0,snacks,1.0804
28.0,snacks,1.0932
29.0,snacks,1.0738
30.0,snacks,1.0858
31.0,snacks,1.1188
32.0,snacks,1.0999
33.0,snacks,1.0881
34.0,snacks,1.095
35.0,snacks,1.1525
36.0,snacks,1.2023
37.0,snacks,1.2185
38.0,snacks,1.2577
39.0,snacks,1.2843
40.0,snacks,1.2862
41.0,snacks,1.2733
42.0,snacks,1.2868
43.0,snacks,1.2927
44.0,snacks,1.3137
45.0,snacks,1.3148
46.0,snacks,1.319
47.0,snacks,1.3205
48.0,snacks,1.3289
49.0,snacks,1.32
50.0,snacks,1.2499
51.0,snacks,1.0986
0.0,babies,0.1417
1.0,babies,0.1568
2.0,babies,0.1548
3.0,babies,0.1528
4.0,babies,0.1324
5.0,babies,0.1561
6.0,babies,0.1526
7.0,babies,0.1533
8.0,babies,0.1343
9.0,babies,0.1528
10.0,babies,0.1504
11.0,babies,0.1548
12.0,babies,0.1414
13.0,babies,0.1516
14.0,babies,0.153
15.0,babies,0.1512
16.0,babies,0.1536
17.0,babies,0.1455
18.0,babies,0.1522
19.0,babies,0.1526
20.0,babies,0.1507
21.0,babies,0.1574
22.0,babies,0.1565
23.0,babies,0.158
24.0,babies,0.1571
25.0,babies,0.1579
26.0,babies,0.159
27.0,babies,0.1744
28.0,babies,0.1663
29.0,babies,0.1672
30.0,babies,0.176
31.0,babies,0.1778
32.0,babies,0.1716
33.0,babies,0.1735
34.0,babies,0.1848
35.0,babies,0.1884
36.0,babies,0.1929
37.0,babies,0.2018
38.0,babies,0.1956
39.0,babies,0.1981
40.0,babies,0.207
41.0,babies,0.2119
42.0,babies,0.2141
43.0,babies,0.2031
44.0,babies,0.2203
45.0,babies,0.216
46.0,babies,0.2164
47.0,babies,0.222
48.0,babies,0.2189
49.0,babies,0.2253
50.0,babies,0.2315
51.0,babies,0.1883
