relative_week,beverages,produce,pets,meat seafood,international,deli,dairy eggs,bakery,bulk,canned goods,breakfast,frozen,dry goods pasta,pantry,personal care,household,alcohol,snacks,babies
21.0,1.0092,3.4295,0.0394,0.2543,0.0951,0.3821,2.0095,0.428,0.013,0.3952,0.2584,0.8098,0.3102,0.6639,0.1629,0.2665,0.0515,1.0675,0.1574
22.0,1.0186,3.4798,0.0386,0.2569,0.0966,0.3861,2.033,0.434,0.0127,0.4011,0.2641,0.8084,0.3145,0.683,0.159,0.2706,0.0532,1.077,0.1565
23.0,1.0236,3.4874,0.037,0.2618,0.0981,0.3859,2.059,0.4375,0.0138,0.4062,0.2628,0.8155,0.313,0.6896,0.1615,0.2762,0.0521,1.0805,0.158
24.0,1.0105,3.5113,0.0402,0.2587,0.0958,0.3795,2.0692,0.4355,0.0136,0.4091,0.2625,0.8062,0.3137,0.6822,0.1639,0.2692,0.052,1.0787,0.1571
25.0,1.016,3.5632,0.0395,0.2607,0.0958,0.3902,2.0614,0.4378,0.0142,0.4119,0.2661,0.7972,0.3207,0.6767,0.1627,0.2751,0.05,1.0806,0.1579
26.0,1.0172,3.6055,0.0386,0.2629,0.0945,0.3905,2.0822,0.4384,0.0141,0.4202,0.2621,0.8063,0.3166,0.6855,0.1641,0.2741,0.0482,1.0741,0.159
27.0,1.0237,3.6148,0.0367,0.2609,0.0964,0.3884,2.1037,0.442,0.0144,0.4138,0.2613,0.8055,0.3182,0.6936,0.1625,0.2747,0.0504,1.0804,0.1744
28.0,1.0397,3.64,0.0399,0.258,0.0964,0.3811,2.1182,0.447,0.0143,0.412,0.2628,0.8024,0.3211,0.7077,0.1682,0.2812,0.0495,1.0932,0.1663
29.0,1.0159,3.6574,0.0388,0.2598,0.0957,0.3863,2.1173,0.4385,0.0144,0.4262,0.2586,0.7995,0.3177,0.724,0.1685,0.2765,0.048,1.0738,0.1672
30.0,1.024,3.7591,0.035,0.2643,0.099,0.3893,2.1362,0.454,0.0147,0.4342,0.263,0.8024,0.3223,0.7044,0.1633,0.2796,0.045,1.0858,0.176
31.0,1.0303,3.7708,0.0376,0.2685,0.098,0.396,2.1536,0.4549,0.0156,0.4245,0.2656,0.8155,0.3223,0.7067,0.1666,0.2808,0.0431,1.1188,0.1778
32.0,1.037,3.7616,0.0371,0.2715,0.0972,0.3971,2.1592,0.4584,0.0142,0.4281,0.2654,0.8114,0.3307,0.7152,0.1712,0.2845,0.0433,1.0999,0.1716
33.0,1.0408,3.8396,0.0348,0.2659,0.1049,0.3885,2.1774,0.4568,0.0152,0.4382,0.2611,0.8093,0.3287,0.7459,0.1759,0.2853,0.0405,1.0881,0.1735
34.0,1.0372,3.9303,0.0381,0.2678,0.1064,0.4018,2.1856,0.4607,0.0156,0.4429,0.2671,0.8158,0.3465,0.7297,0.1686,0.2891,0.0412,1.095,0.1848
35.0,1.0797,4.1854,0.0363,0.2878,0.1129,0.4197,2.2868,0.4825,0.0173,0.4786,0.2768,0.8599,0.3479,0.7545,0.1789,0.2965,0.0416,1.1525,0.1884
36.0,1.0961,4.2663,0.0344,0.2911,0.1176,0.4328,2.3092,0.4763,0.0175,0.4775,0.2862,0.8828,0.3609,0.7765,0.1893,0.2977,0.0446,1.2023,0.1929
37.0,1.1164,4.2696,0.0364,0.2921,0.118,0.4294,2.3343,0.4905,0.0176,0.4879,0.2893,0.8805,0.36,0.7837,0.1942,0.3021,0.0386,1.2185,0.2018
38.0,1.1147,4.3263,0.0359,0.2943,0.1185,0.4327,2.3435,0.5013,0.0169,0.4833,0.2906,0.8786,0.3672,0.7715,0.1851,0.2935,0.0405,1.2577,0.1956
39.0,1.1241,4.4116,0.0374,0.294,0.1199,0.4429,2.3773,0.5043,0.0168,0.4864,0.3007,0.9008,0.3698,0.8007,0.2023,0.3093,0.0422,1.2843,0.1981
40.0,1.1283,4.4191,0.0375,0.2916,0.1143,0.4351,2.3961,0.5078,0.0188,0.473,0.2995,0.8942,0.3654,0.7912,0.1906,0.3019,0.044,1.2862,0.207
41.0,1.1346,4.3789,0.0391,0.288,0.1138,0.4294,2.3651,0.5123,0.0174,0.4528,0.2991,0.8825,0.3604,0.778,0.1931,0.303,0.0405,1.2733,0.2119
42.0,1.1346,4.4724,0.0398,0.2858,0.1177,0.4444,2.396,0.507,0.0174,0.4601,0.3018,0.9057,0.3719,0.7885,0.1925,0.2989,0.0387,1.2868,0.2141
43.0,1.1442,4.5815,0.0375,0.2947,0.1231,0.4452,2.4455,0.5189,0.019,0.457,0.3102,0.9154,0.3736,0.7906,0.1908,0.3077,0.04,1.2927,0.2031
44.0,1.1715,4.5483,0.0375,0.2815,0.1188,0.4465,2.4468,0.5129,0.0175,0.4508,0.3058,0.9049,0.3749,0.7968,0.1947,0.3045,0.0392,1.3137,0.2203
45.0,1.1743,4.5784,0.039,0.2803,0.1154,0.4392,2.4312,0.5104,0.0188,0.4476,0.3056,0.9104,0.3675,0.7814,0.1938,0.2969,0.0367,1.3148,0.216
46.0,1.1817,4.6158,0.0395,0.2752,0.1109,0.4523,2.4741,0.5152,0.0184,0.4436,0.2988,0.8968,0.3661,0.7825,0.1929,0.2972,0.0355,1.319,0.2164
47.0,1.1576,4.5957,0.0403,0.2621,0.1211,0.4421,2.3887,0.498,0.019,0.4082,0.3032,0.8863,0.3544,0.7486,0.1903,0.306,0.0397,1.3205,0.222
48.0,1.1498,4.6722,0.033,0.2676,0.1174,0.4553,2.4404,0.4984,0.019,0.425,0.3038,0.8832,0.3521,0.7735,0.1872,0.2947,0.0382,1.3289,0.2189
49.0,1.1775,4.642,0.0392,0.273,0.1222,0.4465,2.457,0.502,0.0172,0.4089,0.3011,0.8774,0.3431,0.7659,0.182,0.2869,0.0339,1.32,0.2253
50.0,1.1007,4.6136,0.0321,0.2532,0.1114,0.4414,2.3911,0.4977,0.0206,0.3995,0.3073,0.8388,0.3273,0.7332,0.1756,0.2612,0.0378,1.2499,0.2315
51.0,0.9882,4.0383,0.0229,0.233,0.0994,0.399,2.1191,0.433,0.0161,0.3478,0.2564,0.7444,0.2953,0.6412,0.1566,0.231,0.027,1.0986,0.1883
